id,원본 파일명,최종 업데이트 날짜,제 O장,제 O조,content,단락 수,콘텐츠 타입
d8c3c671-0ccf-4417-9d96-9bf352074be1,간접광고 판매대행 약관(외주제작사)(2016년도 9월 제정).pdf,2016-09,제1장 총칙,제1조(목적),간접광고 판매대행 약관(이하 “약관”이라 합니다)은 방송법 및 동법 시행령에 의하여 방송 광고판매대행 등에 관한 법률(이하 “방송광고판매법”이라 합니다) 제5조에 따른 방송광고판매대행사 업자가 위탁하는 방송광고만 할 수 있는 방송사업자(이하 “방송사”라 합니다)의 채널에 편성된 방송 프로그램을 제작하고 방송사와 합의하에 해당 방송프로그램의 간접광고 판매를 위탁하는 외주제작사 (이하 “제작사”라 합니다)와 한국방송광고진흥공사(이하 “공사”라 합니다)간의 간접광고 판매대행에 관하여 필요한 사항을 정함을 목적으로 합니다.,1,regulation
feb9c17d-3065-4c5d-85a2-70050ae85da0,간접광고 판매대행 약관(외주제작사)(2016년도 9월 제정).pdf,2016-09,제1장 총칙,제2조(약관의 신고 및 변경 등),"①이 약관은 방송통신위원회에 신고를 한 것이고 이 약관을 변경하는 경우에도 방송통신위원회에 신고합니다.
②공사는 이 약관을 공사 홈페이지(http://www.kobaco.co.kr)에 게시하고, 제작사는 이를 열람하거나 그 교부를 청구할 수 있습니다.
③공사가 이 약관을 변경할 경우에는 적용일자 및 개정사유를 명시하여 현행약관과 함께 공사 인터넷 홈페이지 초기화면과 코바넷(KOBANET) 판매게시판에 그 적용일자 7일 이전부터 적용일자 전일까지 공지합니다. 다만, 제작사에게 불리한 약관변경에 대해서는 공지 외에 서면 또는 전자문서로 통지합니 다.
④공사가 제3항에 따라 변경약관을 공지 또는 통지한 후 7일 이내에 제작사의 명시적인 이의제기가 없을 경우에는 제작사가 변경약관에 동의한 것으로 봅니다.",1,regulation
666fddeb-6697-4dae-97f7-cbcfa763b242,간접광고 판매대행 약관(외주제작사)(2016년도 9월 제정).pdf,2016-09,제1장 총칙,제3조(적용범위),이 약관은 방송법 제73조 및 동법 시행령 제59조의4에 따라 공사가 제작사로부터 위 탁받은 간접광고판매대행 업무에 적용됩니다.,1,regulation
5f886f4c-e142-4689-8f77-40493f0418b2,간접광고 판매대행 약관(외주제작사)(2016년도 9월 제정).pdf,2016-09,제1장 총칙,제4조(용어의 정의),"①이 약관에서 사용하는 용어는 다음 각 호에서 정의하는 바와 같습니다. 1. “간접광고”란 방송프로그램 안에서 상품, 상표, 회사나 서비스의 명칭이나 로고 등을 노출시키는 형태의 방송광고를 말합니다. 2. “제작사”란 문화산업진흥기본법 제2조제20호에 따른 방송영상독립제작사, 같은 조 제21호에 따른 문화산업전문회사 등 방송사에게 제공할 목적으로 방송프로그램을 제작하는 자를 말합니다. 3. 간접광고판매대행이란 제작사로부터 간접광고의 판매를 위탁받아 광고주 등에게 판매하는 것을 말합니다. 4. “방송편성”이란 방송되는 사항의 종류ㆍ내용ㆍ분량ㆍ시각ㆍ배열을 정하는 것을 말합니다. 5. “방송프로그램”이란 방송편성의 단위가 되는 방송내용물을 말합니다. 6. “노출”이란 방송프로그램 내에서 상표, 로고 등으로 상품이나 서비스 또는 회사를 알 수 있는 표 시를 화면에 나타내는 것을 말합니다. 7. “노출횟수”란 방송프로그램 안에서 시행된 노출의 횟수를 말하며, 이때 1회는 한 회 방송분당 한 장면(scene)에서 상표, 로고 등이 노출되었을 때로 정의합니다. 단, 청약사항에 따라 1초 노출 또 는 방송프로그램 1회 방송을 노출 1회로 처리할 수 있습니다. 8. “청약자”라 함은 공사에 간접광고를 제공하는 광고주 및 광고주로부터 간접광고를 의뢰받아 공사 에 간접광고를 제공하는 자(이하 “광고회사”라고 합니다)를 말합니다. 9. “광고요금”이란 공사가 청약자에게 간접광고를 판매한 대가로 지급받는 금액을 말합니다. - 2 - 10. “간접광고 판매의뢰서”란 공사에 간접광고 판매를 의뢰하기 위하여 제작사가 방송프로그램에 간 접광고를 노출하고자 해당 방송프로그램의 주요 내용과 노출 가능한 간접광고의 유형, 노출방식 등을 기재한 서류를 말합니다. 11. “간접광고 이행의뢰서”란 청약자가 간접광고 판매의뢰서를 토대로 노출품목, 노출방식 등 간접광 고 노출에 관한 세부적인 이행사항을 기술한 서류를 말하며, 제작사가 수락하면 청약자, 공사, 제 작사간 간접광고의 내용으로 확정됩니다. 12. “코바넷(KOBANET) 시스템”이란 공사가 광고주와 광고회사에 방송광고 관련 업무편의성을 제 공하기 위하여 간접광고 청약 등의 업무를 처리할 수 있는 온라인 전산시스템을 말합니다.
②제1항에서 정의한 것을 제외하고는 이 약관에서 사용하는 용어는 방송법 및 동법 시행령과 방송광 고판매법 및 동법 시행령에서 정하는 바에 의합니다.",1,regulation
2870dc86-9b2b-4c04-99e3-933aa0b9f02b,간접광고 판매대행 약관(외주제작사)(2016년도 9월 제정).pdf,2016-09,제2장 간접광고 판매,제5조(광고요금 등의 책정),"①광고요금은 공사와 제작사간 협의하여 결정합니다.
②공사는 제1항의 협의 결과에 따라 광고요금을 확정하여 제작사에 통지하고 해당 내용에 이의가 있 는 경우, 제작사는 통지일로부터 업무일 기준 7일 이내(공휴일 제외)에 이의를 제기하여야 합니다.
③제2항에 따른 제작사의 이의제기가 없으면 이의제기 기간만료일에 광고요금이 확정됩니다.",1,regulation
e637885a-0549-4c69-bc62-595293a94e92,간접광고 판매대행 약관(외주제작사)(2016년도 9월 제정).pdf,2016-09,제2장 간접광고 판매,제6조(판매방식 및 제한),"①공사는 제작사와 협의하여 광고요금의 할인 및 할증, 무상의 간접광고시간 추가제공 등을 할 수 있습니다.
②공사는 광고주가 특정되지 않은 상태에서 방송광고를 판매할 수 없습니다.
③제작사는 방송사에 편성된 프로그램을 제작할 때 공사가 위탁하는 간접광고 외에는 간접광고를 할 수 없습니다.",1,regulation
fef86f95-2e9c-4312-8c60-372dd113306b,간접광고 판매대행 약관(외주제작사)(2016년도 9월 제정).pdf,2016-09,제2장 간접광고 판매,"제7조(예고방송, 재방송, 연장방송 등)","①간접광고로 청약된 방송프로그램이 예고방송되거나 재방송된 경우, 그 예고방송 및 재방송에 대해서는 광고요금을 청구하지 않습니다.
②간접광고로 청약된 방송프로그램이 연장 방송된 경우, 연장방송분에 대한 광고요금은 공사와 제작 사간 협의하여 재산정할 수 있습니다.
③간접광고의 시급이 변경되어 방송된 경우에도 당초 청약한 광고요금을 적용합니다.",1,regulation
bc2441e5-5a95-428f-b7db-346ea9746882,간접광고 판매대행 약관(외주제작사)(2016년도 9월 제정).pdf,2016-09,제2장 간접광고 판매,제8조(편성 변경),"①제작사는 방송프로그램의 편성이 변경될 경우 편성 변경 7일 이내(공휴일 제외)에 공사에 서면으로 이를 통보하여야 합니다.
②제작사는 천재지변 등 제작사의 합리적인 통제범위를 벗어난 사유(이하 ""불가항력""이라 합니다), 공 공적 및 사회적 필요성 또는 제작사나 방송사의 부득이한 사정에 의하여 방송프로그램의 일부 또는 전부가 변경된 때에는 지체 없이 공사에 통지하여야 합니다.",1,regulation
902aecae-8e51-4b36-93cc-88102b470852,간접광고 판매대행 약관(외주제작사)(2016년도 9월 제정).pdf,2016-09,제2장 간접광고 판매,제9조(간접광고 판매의뢰서 통지),"①제작사가 기획하여 방송하는 방송프로그램에 간접광고를 노출하고 자 할 때에는 제작사는 해당 방송프로그램의 간접광고 판매의뢰서 및 방송사 편성을 확인할 수 있는 서류를 공사에 통지하여야 합니다. 단 공사와 제작사의 업무 담당자 간 사전 협의에 의하여 이를 생 - 3 - 략할 수 있습니다.
②제1항에 따라 통지된 간접광고 판매의뢰서의 내용이 취소되거나 변경된 때에는 제작사는 지체 없이 그 사실을 공사에게 통지하여야 합니다.",1,regulation
526f5c83-8a2d-42c3-9ddf-c05ba747d5ac,간접광고 판매대행 약관(외주제작사)(2016년도 9월 제정).pdf,2016-09,제2장 간접광고 판매,제10조(간접광고 이행의뢰서 송부),"①제작사의 해당 방송프로그램에 간접광고 청약을 하고자 하는 자는 청약사항에 관하여 해당 공사 영업담당자와 협의한 후 간접광고 이행의뢰서를 작성하여 코바넷 (KOBANET)시스템을 통하여 공사에 송부합니다.
②공사는 청약자로부터 간접광고 이행의뢰서를 수령했을 시, 그 내용을 확인한 후 코바넷(KOBANET) 시스템을 통하여 지체 없이 제작사에 송부합니다.
③제2항에 따라 간접광고 이행의뢰서를 송부할 때, 공사는 제작사의 요청이 있는 경우에 간접광고 이 행의뢰서의 중요내용을 제작사에 설명합니다.",1,regulation
