순번(No),광고회사,주소,전화번호
1,(주)제일기획,서울특별시 용산구 이태원로 222  (한남동),02-3780-2114
2,(주)오리콤,"서울특별시 강남구 언주로 726 두산빌딩 6,7층 (논현동)",02-510-4100
3,(주)대홍기획 부산지사,"부산광역시 해운대구 센텀동로 99 901(재송동,벽산e센텀클래스원)",051-637-1221
4,(주)대홍기획,"서울특별시 중구 통일로 10  (남대문로5가, 7,8,9층)",02-3671-6114
5,(주)비비디오코리아,서울특별시 용산구 한강대로 100 14층 (한강로2가),02-3449-9000
6,(주)코래드,서울 강남구 역삼동 677-25 큰길타워13층,02-2193-8000
7,오길비코리아 유한회사,서울특별시 강남구 삼성로 507 (삼성동) JS타워,02-513-1114
8,(주)한컴,"서울특별시 강남구 언주로 726 5층,3층 일부(논현동, 두산빌딩)",02-519-6900
9,주식회사 에이치에스애드,"서울특별시 마포구 마포대로 155 (공덕동,LG마포 B/D, 4,9~15F)",02-3777-1114
10,한국언론진흥재단,서울특별시 중구 세종대로 124  (태평로1가),02-2001-7114
11,(주)부산프로덕션,"부산광역시 부산진구 개금온정로 9 2층 202호 (개금동, 석천빌딩)",051-905-8500
12,(주)비앤비커뮤니케이션,대구 동구 신천4동   335-6,053-751-0777
13,(주)인터콤어소시에이션,"서울특별시 강남구 학동로53길 29  (논현동, 인터콤빌딩)",02-3448-8800
14,(주)하쿠호도제일,"서울특별시 마포구 마포대로 20  (마포동, 다보빌딩 7,8층)",02-2021-3600
15,엠얼라이언스주식회사,서울특별시 강남구 봉은사로2길 31 더블유빌딩 7층 (역삼동),02-2186-9700
16,(주)서해광고,전라북도 전주시 완산구 팔달로 270 3층 (주)서해광고 (서노송동),063-282-6900
17,(주)우일기획,광주광역시 서구 화정로 277  (농성동),062-366-6023
18,(주)웰콤퍼블리시스월드와이드,"서울특별시 중구 청계천로 100 (수표동,시그니쳐타워) 동관 3층",02-2000-3674
19,(주)벨커뮤니케이션즈,서울특별시 서대문구 충정로 8 종근당빌딩 804호 (충정로3가),02-364-4151
20,(주)동천미디어, 광주시 동구 동명동 125-4 동천미디어빌딩,062-224-5401
21,레오버넷(주),"서울특별시 중구 청계천로 100 동관 15층 (수표동,시그니쳐타워)",02-2000-3674
22,(주)유니기획,서울특별시 서초구 바우뫼로27길 2  (양재동) 일동홀딩스(주) 사옥 2층,02-526-3674
23,(주)매일애드,대구 중구 계산동2가  71,053-251-0500
24,(주)타이타늄22,"서울특별시 종로구 통일로 134, 21층(평동, 디타워(돈의문)) -",02-2262-4500
25,(주)청운기획,대구 수성구 범어동  45-4 범어타워 80호,053-425-3373
26,주식회사 제이엔프로,대전광역시 유성구 월드컵대로300번길 16-16 4층 (상대동),042-537-8181
27,(주)희승에이젠시, 서울시 서초구 양재 114-4 희승빌딩,02-578-7651
28,(주)하바스코리아,서울특별시 강남구 봉은사로86길 6 (삼성동) 레베쌍트빌딩 7층,02-841-2985
29,(주)애드라인,"서울특별시 송파구 송파대로 167 A동 1423호 (문정동, 문정역테라타워)",02-511-2333
30,(주)그레이프커뮤니케이션즈,서울특별시 영등포구 영중로 56  (영등포동5가) 신한빌딩,02-2260-5400
31,(주)문화비젼,대전 서구 만년동 306 리더스타운에이동 301,042-484-7444
32,(주)와이지플러스,서울특별시 영등포구 국제금융로 10 (여의도동) THREE IFC 19층,02-3140-4600
33,(주)케이에프엔애드콤,서울특별시 영등포구 여의대방로67길 9 (여의도동)두일빌딩,02-501-2141
34,케이아트만(주),서울 강남구 신사동  542-4번지 세비앙빌딩 4층,02-511-7053
35,(주)금강미디어,경상북도 포항시 북구 장량로157번길 7-1  (양덕동),054-282-3755
36,(주)아트콤(서울),서울특별시 영등포구 국제금융로6길 33 1017 (여의도동),02-780-6611
37,TBWA KOREA(주),서울특별시 강남구 도산대로 139 제이타워 7층(신사동),02-501-8888
38,(주)플러스컴, 대구시 수성구 황금동 753-4,053-768-6688
39,(주)애드뱅크,대구 수성구 범어동 7-14 ,053-755-8586
40,(주)딥다이브컴퍼니,"서울특별시 중구 다산로20길 41 1층,2층,3층(신당동)",02-765-7901
41,주식회사 디에이치씨,대구광역시 중구 태평로51길 55  (동인동3가),053-426-6664
