0,1,2,3,4
"일련
번호",대상부서,제        목,처분요구,감사자
1,"E파트
F파트
D단","고정자산별  옥탑층  등  추락주의  안전표지 
부착  필요",권고,☏ ★
2,"E파트
F파트
D단","고정자산별  기계실  등  시설  내  안전보건표
지  관리  강화",권고,☏ ★
3,"E파트
F파트
D단","고정자산별  옥상,  기계실  등  돌출부위  전도 
방지  조치  필요",개선,☏ ◈
4,"E파트
D단","광고문화회관  및  연수원  옥내소화전  사용법 
부착  개선  필요",권고,★ ▷
5,"F파트
D단","방송회관  및  연수원  창고시설  소화기  비치 
필요",개선,★ ▷
6,E파트,광고회관  고정식사다리  시건장치  보완  필요,권고,☏ ◈
7,E파트,"광고회관  옥상  쿨링타워  고정사다리  등받이
울  설치  개선  필요",개선,☏ △
8,E파트,"광고회관  화물용  엘리베이터  기계실  내  승
강모터  덮개  설치  필요",개선,☏ △
9,E파트,"광고문화회관  기계실  응축수  탱크  접근  개
구부  관리  개선",개선,☏ ★
10,E파트,광고문화회관  전기실  등  조도  개선  필요,개선,☏ ★
11,F파트,"방송회관  코바코홀  화재대응장비  및  피난안
내도  개선  필요",개선,☏ △
12,F파트,방송회관  정화조실  교반기  덮개  설치  필요,개선,☏ △
13,D단,연수원  강당  화재대응  장비  보완  필요,개선,△ ▷
