0,1,2,3
(단위: 원),,,
구   분,판매비와 관리비,매출원가,합계
인건비(*1),"30,612,578,455","1,441,709,991","32,054,288,446"
감가상각비,"2,700,483,893","3,572,271,665","6,272,755,558"
무형자산상각비,"171,926,035",-,"171,926,035"
지급수수료,"1,780,304,462","95,698,636,174","97,478,940,636"
세금과공과,"7,464,602,085",-,"7,464,602,085"
수도광열비,"1,778,777,832",-,"1,778,777,832"
경상연구개발비,-,"4,218,261,566","4,218,261,566"
조사분석비,"3,248,816,365",-,"3,248,816,365"
기타,"5,760,200,219","5,518,891,547","11,279,091,766"
합    계,"53,517,689,346","110,449,770,943","163,967,460,289"
