0,1,2,3,4
구   분,납입자본,이익잉여금,기타자본구성요소,계
Ⅰ. 2022. 1. 1(전기초 보고금액),"325,581,083,487","(17,803,305,941)","(609,987,655)","307,167,789,891"
Ⅱ. 자본의 변동,-,"(10,468,704,495)","(8,850,470,189)","(19,319,174,684)"
전기순손실,-,"(10,658,918,732)",-,"(10,658,918,732)"
기타포괄손익의 변동,-,"190,214,237","(8,850,470,189)","(8,660,255,952)"
- 확정급여제도의 재측정요소,-,"190,214,237",-,"190,214,237"
- 공정가치측정금융자산평가손익,-,-,"(8,850,470,189)","(8,850,470,189)"
Ⅲ. 2022.12.31(전기말 보고금액),"325,581,083,487","(28,272,010,436)","(9,460,457,844)","287,848,615,207"
Ⅰ. 2023. 1. 1(당기초 보고금액),"325,581,083,487","(28,272,010,436)","(9,460,457,844)","287,848,615,207"
Ⅱ. 자본의 변동,-,"(16,799,281,098)","6,388,175,115","(10,411,105,983)"
당기순손실,-,"(16,281,010,165)",-,"(16,281,010,165)"
기타포괄손익의 변동,-,"(518,270,933)","6,388,175,115","5,869,904,182"
- 확정급여제도의 재측정요소,-,"(518,270,933)",-,"(518,270,933)"
- 공정가치측정금융자산평가손익,-,-,"6,388,175,115","6,388,175,115"
Ⅲ. 2023.12.31(당기말 보고금액),"325,581,083,487","(45,071,291,534)","(3,072,282,729)","277,437,509,224"
