0,1,2
연번,화환대 전달 사항,집행일자
1,"광고주  주
)●●●● ◎◎◎ 
사장 자녀혼 축하화환대",2020-01-14
2,"◴◴◴◴◴
대상 경조비 집행 화환대
)",2020-02-13
3,"◨◨◨
광고회사 
화환대",2020-03-04
4,"▒▒▒
, 
ㅇㅇㅇ 광고부장 승진 축하난 전달",2020-04-17
5,"▒▒▒
, 
ㅁㅁㅁ국장 
▒▒▒
부장 부임 축하 화분 발송",2020-04-23
6,"󰁬󰁬󰁬
ㅇㅇㅇ 부장 경조비 조화 집행",2020-04-29
7,"󰁲󰁲󰁲
ㅇㅇㅇ 사장 빙부상 경조비 집행",2020-05-07
8,"◲◲◲
대상 경조비 집행 조화배송
)",2020-05-08
9,"△
지사 광고주 광고회사 대상 경조비 화환대 지출",2020-06-22
10,"(
주
)▒▒▒ 
ㅇㅇㅇ 이사 승진 축하 경조비 집행",2020-12-31
11,"주(
)▒▒▒ ㅇㅇㅇ 부장 승진 축하 경조비 집행",2021-01-18
12,"◲◲◲
광고주 
ㅇㅇㅇ 대표이사 취임 경조비 집행",2021-03-12
13,"◲◲◲
광고회사 
ㅇㅇㅇ 부장 부친상 조화 발송",2021-05-24
14,"󰁶󰁶󰁶 󰁋󰁋󰁋
사장 아들 결혼 축하 화환",2021-06-11
15,"◴◴◴
신임 본부장 취임 축하난 발송",2021-06-28
16,"◲◲◲
ㅇㅇㅇ부장 빙부상 조화 발송",2021-07-21
17,"󰁋󰁋󰁋
전국광고주 
마케팅팀장 모친상 근조화환 발송",2021-11-30
18,"광고회사 
◇◇◇ 
직원 ㅇㅇㅇ 결혼 축하화환",2021-11-30
19,광고주 ◎◎조합 대상 경조비 집행,2021-12-07
20,"◲◲◲
ㅇㅇㅇ 신사옥추진단장 부친상 경조비 집행",2021-12-10
21,"◲◲◲
,
축하경조비 집행
",2021-12-31
22,"◲◲◲
광고회사 
경조비 집행",2022-02-28
23,"◲◲◲
광고주 
ㅇㅇㅇ 단장 모친상 근조화환 발송",2022-03-16
24,"광고회사  주
)△△△ 
경조비 집행",2022-03-31
25,"광고회사 
◇◇◇ 
대표 모친상 근조화환 발송",2022-04-05
26,"광고회사  주
)󰁶󰁶󰁶
사무실 확장이전 축하경조난 발송",2022-05-31
27,"◲◲◲
ㅇㅇㅇ지사장 부친상 근조화환 발송",2022-06-30
28,"(
주
)△△△
사무실 확장이전 축하환환 발송",2022-06-30
29,"◴◴◴
ㅇㅇㅇ 본부장 자녀 결혼식 축하화환 발송",2022-08-29
30,"◴◴◴
대상 축하 경조비 집행",2022-09-27
31,"부산
◈◈◈ 
대상 축하 경조비 집행",2022-09-29
32,"(
주
)󰁶󰁶󰁶
대상 경조비 집행",2022-09-30
33,"광고회사  주
)
△△△
' 
대상 경조비 집행",2023-02-06
34,"◲◲◲
대상 축하 경조비 집행",2023-03-28
35,"◨◨
방송 대표이사 취임 축하난",2023-03-31
36,"◲◲◲
유관인사 대상 승진 축하 경조비",2023-04-17
37,"󰁋󰁋󰁋
광고회사 
대표 부친상 조화 발송",2023-05-03
38,"◴◴◴
ㅇㅇㅇ 팀장 결혼식 축하 화환 발송",2023-06-12
39,"경영기획국장 승진 축하난 발송
",2023-07-14
40,"㈜󰁶󰁶󰁶
ㅇㅇ 부사장 빙부상 경조비",2023-10-31
41,"(
주
)◎◎ 
ㅇㅇㅇ 사장 모친상 조화 발송",2023-11-02
42,"◲◲◲
경영기획국 경영부장 ㅇㅇㅇ 부친상 조화 발송",2023-11-28
43,"◴◴◴
ㅇㅇㅇ 대표 취임 축하난 발송",2023-12-22
44,"☆☆☆
협회 ㅇㅇㅇ 이사장 취임 축하난 발송",2024-2-27
45,"◲◲◲
사장 ㅇㅇㅇ 빙모상 조화 발송",2024-2-1
46,"▒▒▒
, 
ㅇㅇㅇ 사장 취임 축하난 발송",2024-3-18
