0,1,2,3
(단위: 원),,,
구   분,판매비와 관리비,매출원가,합계
급여,"23,991,556,584","1,200,756,677","25,192,313,261"
퇴직급여,"2,330,812,628",-,"2,330,812,628"
해고급여,"843,009,530",-,"843,009,530"
복리후생비,"79,833,679",-,"79,833,679"
보험료,"112,664,850","18,413,578","131,078,428"
감가상각비,"2,752,519,757","3,686,824,937","6,439,344,694"
무형자산상각비,"164,950,331",-,"164,950,331"
지급수수료,"2,723,934,975","71,126,181,759","73,850,116,734"
광고선전비,"1,387,041,637",-,"1,387,041,637"
교육훈련비,"333,496,411",-,"333,496,411"
차량유지비,"27,499,505",-,"27,499,505"
도서인쇄비,"16,862,797",-,"16,862,797"
업무추진비,"50,017,135",-,"50,017,135"
임차료,"570,865,249","460,825,553","1,031,690,802"
통신비,"33,530,495",-,"33,530,495"
세금과공과,"4,091,770,359","3,175,711,227","7,267,481,586"
소모품비,"86,686,862",-,"86,686,862"
수도광열비,"355,086,648","1,816,414,943","2,171,501,591"
수선비,"215,861,318","365,642,686","581,504,004"
경상연구개발비,-,"3,824,551,480","3,824,551,480"
여비교통비,"69,910,409",-,"69,910,409"
조사분석비,"3,295,476,732",-,"3,295,476,732"
판매촉진비,"382,101,060",-,"382,101,060"
기타비용,"869,002,238","7,086,760,793","7,955,763,031"
합    계,"44,784,491,189","92,762,083,633","137,546,574,822"
