0,1,2,3,4
구   분,납입자본,결손금,기타자본구성요소,계
Ⅰ. 2023. 1. 1(전기초 보고금액),"325,581,083,487","(28,272,010,436)","(9,460,457,844)","287,848,615,207"
Ⅱ. 자본의 변동,-,"(16,799,281,098)","6,388,175,115","(10,411,105,983)"
당기순이익(손실),-,"(16,281,010,165)",-,"(16,281,010,165)"
기타포괄손익의 변동,-,"(518,270,933)","6,388,175,115","5,869,904,182"
- 확정급여제도의 재측정요소,-,"(518,270,933)",-,"(518,270,933)"
- 공정가치측정금융자산평가손익,-,-,"6,388,175,115","6,388,175,115"
Ⅲ. 2023.12.31(전기말 보고금액),"325,581,083,487","(45,071,291,534)","(3,072,282,729)","277,437,509,224"
Ⅳ. 2024. 1. 1(당기초 보고금액),"325,581,083,487","(45,071,291,534)","(3,072,282,729)","277,437,509,224"
Ⅴ. 자본의 변동,-,"(13,599,125,299)","3,242,315,543","(10,356,809,756)"
당기순이익(손실),-,"(14,250,753,767)",-,"(14,250,753,767)"
기타포괄손익의 변동,-,"651,628,468","3,242,315,543","3,893,944,011"
- 확정급여제도의 재측정요소,-,"651,628,468",-,"651,628,468"
- 공정가치측정금융자산평가손익,-,-,"3,242,315,543","3,242,315,543"
Ⅵ. 2024.12.31(당기말 보고금액),"325,581,083,487","(58,670,416,833)","170,032,814","267,080,699,468"
