0,1,2,3,4,5,6,7,8,9
구분,,,,2020년 결산,2021년 결산,2022년 결산,2023년 결산,2024년 결산,2025년 예산
수입,"정부
지원
수입","직접
지원",출연금,-,-,-,-,-,-
,,,보조금,"10,695","9,310","10,662","11,274","11,470","10,303"
,,,부담금,-,-,-,-,-,-
,,,이전수입,-,-,-,-,-,-
,,,부대수입,-,-,-,-,-,-
,,"간접
지원",사업수입,"114,220","133,941","135,081","107,966","104,271","117,339"
,,,위탁수입,-,-,-,-,-,-
,,,독점수입,-,-,-,-,-,-
,,,부대수입,"5,613","6,440","9,171","7,187","7,827","7,700"
,,소계,,"130,528","149,691","154,914","126,427","123,568","135,342"
,기타사업수입,,,-,-,-,-,-,-
,부대수입,,,-,-,-,-,-,-
,출자금,,,-,-,-,-,-,-
,차입금,,,-,-,-,-,-,-
,기타,,,"42,246",183,384,759,174,"7,090"
,수입합계,,,"172,774","149,874","155,298","127,186","123,742","142,432"
지출,인건비,,,"32,012","28,358","29,979","29,556","27,245","31,168"
,경상운영비,,,"22,344","15,461","16,593","15,270","15,070","11,591"
,사업비,,,"103,763","115,753","119,385","98,641","95,678","99,673"
,차입상환금,,,-,-,-,-,-,-
,기타,,,"14,655","-9,698","-10,659","-16,281","-14,251",-
,지출합계,,,"172,774","149,874","155,298","127,186","123,742","142,432"
수입*지출 총괄자료,,,,"수입지출총괄표
자료 고유사업
(2020).xlsx","수입지출총괄표
자료 고유사업
(2021).xlsx","수입지출총괄표
자료 고유사업
(2022).xlsx","수입지출총괄표
자료 고유사업
(2023).xlsx","수입지출총괄표
자료 고유사업
(2024).xlsx","수입지출총괄표
자료 고유사업
(2025).xlsx"
