0,1,2,3,4
과 목,제 12 기(당기),,제 11 기(전기),
I. 영업활동으로 인한 현금흐름,,"(18,286,597,786)",,"1,699,073,806"
1. 당기순손실,"(16,611,537,405)",,"(10,675,623,484)",
2. 당기순손익 조정을 위한 가감,"982,060,015",,"(288,815,971)",
법인세비용,-,,"478,635,585",
이자비용,"(6,138,837,266)",,"87,742,873",
이자수익,"228,749,646",,"(5,805,786,102)",
배당수익의 조정,"(101,860,579)",,"(95,487,663)",
감가상각비와 상각비의 조정,"6,537,906,351",,"6,444,681,593",
관계기업평가손익,"1,485,615,067",,"(2,986,353,457)",
비현금항목에 관한 기타조정,"(1,029,513,204)",,"1,587,663,200",
비유동자산처분손실(이익),-,,"88,000",
3. 영업활동 관련 자산ㆍ부채의 변동,"(8,240,180,669)",,"5,855,696,755",
매출채권,"29,417,477,457",,"(13,136,677,513)",
재고자산,"68,249,621",,"(22,559,897)",
기타 영업활동 관련 채권,"81,231,311",,"896,357,306",
매입채무,"(34,517,354,322)",,"24,113,283,017",
기타 영업활동 관련 채무,"(3,289,784,736)",,"(5,994,706,158)",
4. 배당금의 수취,"101,860,579",,"95,487,663",
5. 이자수취,"5,714,903,414",,"5,650,885,802",
6. 법인세의 수취(지급),"(233,703,720)",,"1,061,443,041",
II. 투자활동으로 인한 현금흐름,,"29,917,149,637",,"9,819,300,727"
단기금융상품의 처분,-,,"300,000,000",
단기금융상품의 취득,"(200,000,000)",,"(300,000,000)",
관계기업투자지분 취득,"90,964,261",,-,
관계기업투자지분의 처분,-,,"3,453,107,091",
유형자산의 취득,"(2,766,555,526)",,"(2,312,956,663)",
무형자산의 취득,"(931,816)",,"(416,890,908)",
무형자산의 처분,-,,"112,000,000",
공정가치측정금융자산 취득,"(102,161,970,109)",,"(121,610,000,000)",
공정가치측정금융자산 처분,"160,911,585,693",,"82,534,728,806",
상각후원가측정금융자산 취득,"(56,000,000,000)",,"(55,904,526,029)",
상각후원가측정금융자산 처분,"30,039,376,150",,"103,815,884,136",
장기대여금 및 기타수취채권 증가,"(59,590,000)",,"(51,676,000)",
장기대여금 및 기타수취채권 감소,"53,564,984",,"199,630,294",
장기보증금의 증가,"(160,000,000)",,-,
