0,1,2,3,4,5,6,7
번호,부서·대상자,건명,처분요구,,,"조치
기한",감사자
,,,종류,재정상,신분상,,
1,♠♠팀,비상매뉴얼 마련에 관한 사항,개선,,,60일,F B
2,♠♠팀,연수원 관리기준 미수립에 관한 사항,개선,,,60일,F B
3,♠♠팀,"영상정보처리기기 운영 위수탁 표시에 
관한 사항",개선,,,60일,G C
4,♠♠팀,"영상정보처리기기 열람청구서 작성에 
관한 사항","부서
주의",,,60일,G
5,♠♠팀,"영상정보처리기기 열람청구 및 대응에 
관한 사항",통보,,,60일,G C
6,♠♠팀,"영업매출 기반 임대료 산정시 매출증
빙에 관한 사항",개선,,,60일,H A
7,♠♠팀,옥상 비상개폐장치 설치에 관한 사항,권고,,,60일,F B
8,♠♠팀,"임대료 및 관리비 산정 적정성 제고 
필요",개선,,,60일,I E
9,♠♠팀,"임대차 계약서 원상복구 조항 보완필
요",권고,,,60일,I C
10,♠♠팀,임대차 사업계획 미수립,"부서
주의",,,60일,I
11,♠♠팀,"임차인 계약종료 이후 무단점유 처리 
규정 미비",개선,,,60일,I E
12,♠♠팀,과거년도 문서 현행화 필요,"현지
조치",,,-,I F
13,♠♠팀,추락 등 낙하사고 방지 필요,"현지
조치",,,-,F D
14,♠♠팀,불필요한 물건 방치 정돈 필요,"현지
조치",,,-,F G
15,♠♠팀,"시설 주변 위험물 주의 표지 부착 필
요","현지
조치",,,-,F G
