0,1,2,3,4,5
구    분,주석,제 13 기 (당기말),,제 12 기 (전기말),
유동리스부채,,"189,567,858",,"156,388,797",
(2) 유동비금융부채,20,,"8,342,830,474",,"7,119,840,449"
단기선수금,,"7,911,015,324",,"6,506,303,183",
단기예수금,,"137,034,654",,"262,099,838",
기타유동비금융부채,,"294,780,496",,"351,437,428",
(3) 유동충당부채,18,,"4,500,000,000",,"5,000,000,000"
유동종업원급여충당부채,,"4,500,000,000",,"5,000,000,000",
2. 비유동부채,,,"13,174,244,266",,"13,357,547,821"
(1) 장기매입채무 및 기타채무,"13,17,32,33",,"12,921,237,251",,"13,106,029,143"
장기임대보증금,,"13,010,605,826",,"13,160,925,400",
현재가치할인차금,,"(258,801,599)",,"(254,303,467)",
비유동리스부채,,"169,433,024",,"199,407,210",
(2) 비유동비금융부채,20,,"253,007,015",,"251,518,678"
장기선수수익,,"253,007,015",,"251,518,678",
부채총계,,,"168,232,425,157",,"228,179,926,203"
Ⅲ. 자본,,,,,
1. 납입자본,21,,"325,581,083,487",,"325,581,083,487"
(1) 자본금,,"300,000,000,000",,"300,000,000,000",
(2) 주식발행초과금,,"25,581,083,487",,"25,581,083,487",
2.  결손금,22,,"(58,670,416,833)",,"(45,071,291,534)"
(1) 미처리결손금,,"(58,670,416,833)",,"(45,071,291,534)",
3. 기타자본구성요소,23,,"170,032,814",,"(3,072,282,729)"
(1) 기타포괄손익누계액,,"170,032,814",,"(3,072,282,729)",
자본총계,,,"267,080,699,468",,"277,437,509,224"
자본과부채총계,,,"435,313,124,625",,"505,617,435,427"
