0,1,2,3,4,5
구   분,주석,제 12 기(당기),,제 11 기(전기),
8.기타이익(손실),,,"629,422,030",,"(1,002,190,596)"
그밖의기타이익,27,"1,093,007,320",,"449,791,652",
유형자산처분손실,,"(504,000)",,"(88,000)",
무형자산처분손실,,"(8,000)",,-,
그밖의기타손실,27,"(463,073,290)",,"(1,451,894,248)",
9.금융수익,"6,28,33",,"11,398,732,147",,"7,304,788,396"
이자수익,,"6,138,837,266",,"5,805,786,102",
배당수익,,"101,860,579",,"95,487,663",
금융자산처분이익,,"4,227,714,855",,"397,500,176",
당기손익-공정가치측정금융자산평가이익,,"930,319,447",,"1,006,014,455",
10.금융원가,"6,29,33",,"2,938,036,866",,"1,201,886,606"
이자비용,,"228,749,646",,"87,742,873",
금융자산처분손실,,-,,"345,300,651",
당기손익-공정가치측정금융자산평가손실,,"2,709,287,220",,"768,843,082",
11.관계기업관련이익(손실),17,,"(1,485,615,067)",,"2,986,353,457"
관계기업투자지분평가이익,,"99,133,372",,"2,986,353,457",
관계기업투자지분평가손실,,"(1,584,748,439)",,-,
12.법인세비용차감전순손실,,,"(16,611,537,405)",,"(10,195,300,969)"
13.법인세비용,30,,-,,"480,322,515"
14.당기순손실,,,"(16,611,537,405)",,"(10,675,623,484)"
지배기업 소유주지분,,,"(16,611,537,405)",,"(10,675,623,484)"
비지배지분,,,-,,-
15.기타포괄손익(세후),,,"5,869,904,182",,"(8,660,255,952)"
"후속적으로당기손익으로 재분류되지않는
   기타포괄손익",20,,"(518,270,933)",,"190,214,237"
확정급여제도의 재측정요소,,"(518,270,933)",,"190,214,237",
"후속적으로 당기손익으로 재분류되는
   기타포괄손익",24,,"6,388,175,115",,"(8,850,470,189)"
"기타포괄손익-공정가치측정금융자산의 
      세후재측정이익(손실)",,"6,388,175,115",,"(8,850,470,189)",
16.총포괄손실,,,"(10,741,633,223)",,"(19,335,879,436)"
지배기업 소유주지분,,,"(10,741,633,223)",,"(19,335,879,436)"
비지배지분,,,-,,-
17.주당손익,32,,,,
기본주당손익,,,(553),,(356)
