0,1,2,3,4,5
제        목,처분 내역,,,,
,"처분
요구",현 소속,직책,성명,비고
② 주요 연간사업의 결과보고 누락,주의,Ⓐ국,국장,◆◆◆,
,주의,Ⓖ국,국장,♠♠♠ 前  Ⓐ국,
,주의,Ⓘ팀,국장,▥▥▥ 前  Ⓐ국,
,주의,Ⓑ팀,팀장,▷▷▷,
,주의,Ⓒ팀,팀장,▶▶▶,
,주의,Ⓓ팀,팀장,♣♣♣ 前  Ⓒ팀,
,주의,Ⓑ팀,차장,◁◁◁,
③ 개인정보보호 관리 미흡,주의,Ⓐ국,국장,◆◆◆,
,주의,Ⓙ국,국장,▩▩▩ 前  Ⓐ국,
,주의,Ⓘ팀,국장,▥▥▥ 前  Ⓐ국,
,주의,Ⓑ팀,팀장,▷▷▷,
,주의,Ⓑ팀,차장,◁◁◁,
,주의,Ⓚ팀,차장,▣▣▣ 前  Ⓑ팀,
④ 용역계약의 정산업무 미흡,주의,Ⓐ국,국장,◆◆◆,
,주의,Ⓒ팀,팀장,▶▶▶,
,주의,Ⓒ팀,부장,◑◑◑,
"⑤ 협상에 의한 제안서 평가 업무
처리 기준 미준수",주의,Ⓐ국,국장,◆◆◆,
,주의,Ⓖ국,국장,♠♠♠ 前  Ⓐ국,
,주의,Ⓓ팀,팀장,♣♣♣,
,주의,Ⓗ팀,차장,♤♤♤ 前  Ⓓ팀,
,주의,Ⓓ팀,대리,♧♧♧,
"시정
⑥ 내부연구 자료구입비 사용 부적정
주의",,"Ⓑ팀
(Ⓔ소)",전문직위원 ▽▽▽,,
"시정
⑦ 학회활동비 지원금 사용 부적정
주의",,"Ⓑ팀
(Ⓔ소)",전문직위원 ▼▼▼,,
