0,1,2,3,4
(단위: 원),,,,
구   분,기초,"당기손익에
인식될 금액","자본에 직접
인식될 금액",기말
퇴직급여충당부채,"3,011,946,411","(321,183,536)",-,"2,690,762,875"
국고보조금(건물),"25,274,701","(1,123,320)",-,"24,151,381"
감가상각누계(건물),"388,342,508",-,-,"388,342,508"
기타 무형자산,"262,137,278",-,-,"262,137,278"
감가상각누계(집기와비품),"85,948,690",-,-,"85,948,690"
사용권자산상각누계액,"23,347,200","22,252,808",-,"45,600,008"
금융리스미지급금,"74,361,365","669,819",-,"75,031,184"
기타포괄-공정가치측정금융자산평가손실,"751,769,737","(690,055,414)",-,"61,714,323"
관계기업투자평가,"25,330,472","96,238,472",-,"121,568,944"
미지급금(연차수당),"576,602,022","5,071,759",-,"581,673,781"
미지급금(성과급),"1,047,620,728","(104,500,000)",-,"943,120,728"
선수수익(임대보증금),"52,567,404","311,062",-,"52,878,466"
현재가치할인차금(임차보증금),"4,888,437","(1,519,203)",-,"3,369,234"
이연정부보조금수익,"13,944,717","(13,543,105)",-,"401,612"
감가상각비,"406,687,221",-,-,"406,687,221"
현재가치할인차금(장기대여금),"2,871,145","541,426",-,"3,412,571"
기타무형자산손상차손,"57,266,000",-,-,"57,266,000"
차감할차이관련이연법인세 계,"6,810,906,036","(1,006,839,232)",-,"5,804,066,804"
미수수익,"(188,312,185)","96,102,679",-,"(92,209,506)"
퇴직연금운용자산,"(3,231,182,662)","540,419,787",-,"(2,690,762,875)"
일시상각충당금,"(25,274,701)","1,123,320",-,"(24,151,381)"
당기손익- 공정가치측정금융자산 평가손익,"352,560,410","(539,898,080)",-,"(187,337,670)"
집기와비품,"(257,978,837)",-,-,"(257,978,837)"
사용권자산,"(98,927,130)","(20,478,770)",-,"(119,405,900)"
선급비용(임차보증금),"(1,965,114)",-,-,"(1,965,114)"
현재가치할인차금(임대보증금),"(52,941,273)","(940,109)",-,"(53,881,382)"
선급비용(장기대여금),"(2,871,145)","(541,426)",-,"(3,412,571)"
가산할차이관련이연법인세 계,"(3,506,892,637)","75,787,401",-,"(3,431,105,236)"
소 계,"3,304,013,399","(931,051,831)",-,"2,372,961,568"
이연법인세 미인식 금액,,,,"2,273,524,846"
이연법인세 인식 금액,,,,"99,436,722"
