0,1,2,3
(단위: 원),,,
구   분,판매비와 관리비,매출원가,합계
인건비(*1),"29,556,067,113","1,483,398,870","31,039,465,983"
감가상각비,"2,687,309,336","3,609,204,123","6,296,513,459"
무형자산상각비,"200,560,888",-,"200,560,888"
지급수수료,"2,939,659,465","73,812,873,016","76,752,532,481"
세금과공과,"4,174,991,162","3,122,250,185","7,297,241,347"
수도광열비,"413,805,528","1,819,852,848","2,233,658,376"
경상연구개발비,-,"4,773,235,497","4,773,235,497"
조사분석비,"3,387,965,095",-,"3,387,965,095"
기타,"4,623,925,841","6,455,318,496","11,079,244,337"
합    계,"47,984,284,428","95,076,133,035","143,060,417,463"
