0,1,2,3,4,5
과               목,주석,제 13(당)기 반기,,제 12(전)기 반기,
1. 매출액,29,,"54,137,366,211",,"54,631,708,409"
용역매출액,,"50,705,195,664",,"50,554,092,783",
정부보조금수익,,"2,957,975,433",,"3,433,008,395",
수탁사업수익,,"38,071,614",,"149,756,868",
기타매출액,,"436,123,500",,"494,850,363",
2. 매출원가,24,,"41,330,751,659",,"41,597,256,527"
용역매출원가,,"38,051,867,563",,"37,811,056,312",
정부보조금수익 매출원가,,"2,957,975,433",,"3,433,008,395",
수탁사업수익 매출원가,,"38,071,614",,"149,756,868",
기타매출원가,,"282,837,049",,"203,434,952",
3. 매출총이익,,,"12,806,614,552",,"13,034,451,882"
4. 판매비와관리비,24,,"20,142,980,979",,"20,377,708,539"
급여,,"11,997,631,150",,"11,921,892,640",
퇴직급여,,"1,092,252,539",,"1,057,689,687",
해고급여,,"243,993,750",,"246,820,950",
복리후생비,,"1,763,974",,"3,027,472",
보험료,,"112,847,733",,"166,308,029",
감가상각비,,"1,409,832,328",,"1,355,484,932",
무형자산상각비,,"85,162,231",,"104,949,619",
지급수수료,,"1,136,304,254",,"1,182,681,153",
광고선전비,,"27,885,200",,"118,144,750",
교육훈련비,,"109,513,024",,"101,876,444",
차량유지비,,"11,445,276",,"12,105,822",
도서인쇄비,,"5,886,209",,"5,574,554",
업무추진비,,"22,723,385",,"23,201,980",
임차료,,"284,849,736",,"312,318,168",
통신비,,"16,239,410",,"22,352,685",
세금과공과,,"1,098,908,285",,"1,115,659,199",
소모품비,,"33,684,112",,"34,306,895",
수도광열비,,"191,491,789",,"221,158,885",
수선비,,"129,309,133",,"90,128,918",
여비교통비,,"28,250,384",,"30,078,977",
조사분석비,,"1,512,461,301",,"1,550,646,436",
판매촉진비,,"172,226,478",,"224,702,114",
기타 판매비와 관리비,,"418,319,298",,"476,598,230",
5. 영업손실,,,"(7,336,366,427)",,"(7,343,256,657)"
