0,1,2,3,4,5
구    분,주석,제 13 기(당기),,제 12 기(전기),
8. 기타이익(손실),,,"(118,536,665)",,"629,133,178"
그밖의기타이익,26,"315,340,880",,"1,092,717,810",
유형자산처분손실,,"(236,000)",,"(504,000)",
무형자산처분손실,,-,,"(8,000)",
그밖의기타손실,26,"(433,641,545)",,"(463,072,632)",
9. 금융수익,27,,"8,423,578,481",,"11,381,574,789"
이자수익,,"5,734,570,705",,"6,121,679,908",
배당수익,,"53,825,271",,"101,860,579",
금융자산처분이익,,-,,"4,227,714,855",
당기손익-공정가치측정금융자산평가이익,,"2,635,182,505",,"930,319,447",
10. 금융원가,28,,"495,413,378",,"2,938,036,866"
이자비용,,"127,142,358",,"228,749,646",
금융자산처분손실,,"316,332,921",,-,
당기손익-공정가치측정금융자산평가손실,,"51,938,099",,"2,709,287,220",
11. 관계기업과공동기업관련이익(손실),16,,"(228,471,159)",,"(1,485,615,067)"
관계기업투자지분평가이익,,"632,225,890",,"99,133,372",
관계기업투자지분평가손실,,"(860,697,049)",,"(1,584,748,439)",
12. 법인세비용차감전순이익(손실),,,"(14,250,753,767)",,"(16,281,010,165)"
13. 법인세비용,29,,-,,-
14. 당기순이익(손실),,,"(14,250,753,767)",,"(16,281,010,165)"
15. 기타포괄손익(세후),,,"3,893,944,011",,"5,869,904,182"
"후속적으로당기손익으로 재분류되지않는
   기타포괄손익",,,"651,628,468",,"(518,270,933)"
확정급여제도의 재측정요소,,"651,628,468",,"(518,270,933)",
"후속적으로 당기손익으로 재분류되는
   기타포괄손익",,,"3,242,315,543",,"6,388,175,115"
"기타포괄손익-공정가치측정금융자산의 
      세후재측정이익(손실)",,"3,242,315,543",,"6,388,175,115",
16.총포괄손익,,,"(10,356,809,756)",,"(10,411,105,983)"
17.주당손익,31,,,,
기본주당손익,,,(475),,(535)
계속영업기본주당손익,,,(475),,(535)
