0,1,2,3,4,5,6,7
번호,부서,건명,처분요구,,,"조치
기한",감사자
,,,,종류 재정상 신분상,,,
1,팀H,직원  경력  개발  제도에  관한  사항,개선,-,-,일45,▧
2,팀H,"보상휴가  운영기준  정비  및  공유에  관한
사항",권고,-,-,일45,▧ ▽
3,팀M,"중소기업  기술마켓  업무협약  체결  계획
문서  일상감사  누락",주의,-,3,일30,△
4,팀H,"투개표  인력지원  관련  공문에  개인정보 
보안조치  소홀",주의,-,2,일30,△ ▷
5,팀E,"고객응대직원  대상  전화안내음성  삽입에
관한  사항",권고,-,-,일45,△ ○
6,팀H,"대체공휴일  적용  대상  관련  복무규정 
시행규칙  개정에  관한  사항",개선,-,-,일45,▧ ◇
7,팀B,부서평가제도  기본계획  미수립에  관한  사항 주의,,-,3,일30,★
8,전부서,"정보보호미흡에  관한  사항 내
PC
지킴이
, 
PC
필터 비인가  프로그램  사용  등
)","현지
조치",-,-,-,◁ ▷
