0,1,2,3,4,5
과 목,주석,제 13 기(당기),,제 12 기(전기),
I. 영업활동으로 인한 현금흐름,,,"(27,124,571,859)",,"(18,380,229,184)"
1. 당기순이익(손실),,"(14,250,753,767)",,"(16,281,010,165)",
2. 당기순손익 조정을 위한 가감,,"422,014,608",,"958,385,369",
이자비용,,"127,142,358",,"228,749,646",
이자수익,,"(5,734,570,705)",,"(6,121,679,908)",
배당수익의 조정,,"(53,825,271)",,"(101,860,579)",
감가상각비와 상각비의 조정,,"6,604,295,025",,"6,497,074,347",
관계기업평가손익,,"228,471,159",,"1,485,615,067",
비현금항목에 관한 기타조정,,"(749,497,958)",,"(1,029,513,204)",
3. 영업활동 관련 자산ㆍ부채의 변동,,"(19,984,511,995)",,"(8,628,736,773)",
매출채권,,"39,879,034,812",,"29,417,477,457",
재고자산,,"(4,268,096)",,"68,249,621",
기타 영업활동 관련 채권,,"(91,552,289)",,"81,490,152",
매입채무,,"(60,406,810,217)",,"(34,517,354,322)",
기타 영업활동 관련 채무,,"639,083,795",,"(3,678,599,681)",
4. 배당금의 수취,,"53,825,271",,"101,860,579",
5. 이자수취,,"6,213,842,524",,"5,697,746,056",
6. 법인세의 수취(지급),,"421,011,500",,"(228,474,250)",
II. 투자활동으로 인한 현금흐름,,,"2,621,155,743",,"30,184,755,352"
관계기업투자지분의 처분,,"232,000,000",,"90,964,261",
유형자산의 취득,,"(2,297,731,126)",,"(2,699,881,627)",
무형자산의 취득,,"(1,008,000)",,-,
공정가치측정금융자산 취득,,"(43,550,000,000)",,"(102,161,970,109)",
공정가치측정금융자산 처분,,"8,034,016,341",,"160,911,585,693",
상각후원가측정금융자산 취득,,-,,"(56,000,000,000)",
상각후원가측정금융자산 처분,,"40,027,891,211",,"30,039,376,150",
장기대여금 및 기타수취채권 증가,,"(29,080,000)",,"(59,590,000)",
장기대여금 및 기타수취채권 감소,,"49,483,317",,"53,564,984",
장기보증금의 증가,,-,,"(160,000,000)",
장기보증금의 감소,,"155,584,000",,"170,706,000",
lll. 재무활동으로 인한 현금흐름,,,"(427,113,937)",,"160,573,625"
정부보조금의 수령(반환),,"(83,911,213)",,"(99,243,995)",
리스부채의 상환,,"(192,883,150)",,"(123,946,380)",
장기임대보증금 증가(감소),,"(150,319,574)",,"383,764,000",
IV. 현금및현금성자산의 순증가(감소),,,"(24,930,530,053)",,"11,965,099,793"
