0,1,2,3,4,5
구   분,주석,제 12 기(당기),,제 11 기(전기),
1.매출액,"13,15,25,37",,"119,171,530,700",,"145,664,210,182"
용역제공수익,,"106,706,039,700",,"133,489,667,376",
정부보조금수익,,"10,791,386,586",,"10,236,893,418",
수탁사업수익,,"482,522,414",,"424,887,207",
기타수익,,"1,191,582,000",,"1,512,762,181",
2.매출원가,"13,15,31,35",,"93,850,936,323",,"110,449,770,943"
용역제공수익에 대한 원가,,"82,087,201,998",,"99,270,907,839",
정부보조금수익에 대한 원가,,"10,791,386,586",,"10,236,893,418",
수탁사업수익에 대한 원가,,"482,522,414",,"424,887,207",
기타수익에 대한 원가,,"489,825,325",,"517,082,479",
3.매출총이익,,,"25,320,594,377",,"35,214,439,239"
4.판매비와관리비,31,,"49,507,550,389",,"53,517,689,346"
급여,,"26,741,793,710",,"26,820,202,190",
퇴직급여,20,"2,611,235,887",,"2,531,700,430",
해고급여,,"649,736,760",,"770,835,520",
복리후생비,,"537,702,729",,"489,840,315",
보험료,,"166,718,058",,"40,121,425",
감가상각비,12,"2,722,546,705",,"2,700,483,893",
무형자산상각비,16,"206,155,523",,"171,926,035",
지급수수료,,"3,164,839,572",,"1,780,304,462",
광고선전비,,"1,539,766,362",,"1,661,204,466",
교육훈련비,,"387,985,595",,"412,876,990",
차량유지비,,"35,358,715",,"43,194,395",
도서인쇄비,,"13,462,204",,"17,383,080",
업무추진비,,"43,831,870",,"48,146,658",
임차료,,"626,766,704",,"986,714,761",
통신비,,"46,042,290",,"48,749,781",
세금과공과,,"4,206,304,752",,"7,464,602,085",
소모품비,,"226,589,372",,"226,809,863",
수도광열비,,"413,805,528",,"1,778,777,832",
수선비,,"221,801,392",,"659,132,544",
여비교통비,,"69,892,560",,"66,087,921",
조사분석비,,"3,387,965,095",,"3,248,816,365",
판매촉진비,,"466,039,713",,"528,111,037",
기타판매비와관리비,26,"1,021,209,293",,"1,021,667,298",
5.영업손실,,,"(24,186,956,012)",,"(18,303,250,107)"
6.기타수익,,,"122,934,814",,"172,925,768"
외부위탁사업수익,,"122,934,814",,"172,925,768",
7.기타비용,,,"152,018,451",,"152,041,281"
기부금,,"26,966,820",,"29,409,050",
외부위탁사업비용,,"125,051,631",,"122,632,231",
