0,1,2,3,4
(단위: 원),,,,
구   분,기초,"당기손익에
인식될 금액","자본에 직접
인식될 금액",기말
퇴직급여충당부채,"3,154,901,697","(142,955,286)",-,"3,011,946,411"
국고보조금(건물),"25,395,633","(120,932)",-,"25,274,701"
감가상각누계(건물),"390,200,606","(1,858,098)",-,"388,342,508"
기타 무형자산,"263,391,524","(1,254,246)",-,"262,137,278"
감가상각누계(공기구비품),"86,359,928","(411,238)",-,"85,948,690"
사용권자산상각누계액,"53,665,384","(30,318,184)",-,"23,347,200"
금융리스미지급금,"59,254,194","15,107,171",-,"74,361,365"
당기손익- 공정가치측정금융자산 평가손실,"1,005,214,230","(652,653,820)",-,"352,560,410"
기타포괄-공정가치측정금융자산평가손실,"2,172,473,903","(1,420,704,166)",-,"751,769,737"
관계기업투자평가,"507,875,516","(482,545,044)",-,"25,330,472"
미지급금(연차수당),"604,475,219","17,671,492",-,"622,146,711"
미지급금(성과급),"1,050,000,000","(2,379,272)",-,"1,047,620,728"
선수수익(임대보증금),"52,778,740","(211,336)",-,"52,567,404"
현재가치할인차금(임차보증금),"8,105,869","(3,217,432)",-,"4,888,437"
이연정부보조금수익,"15,865,557","(1,920,840)",-,"13,944,717"
