0,1,2,3,4
과 목,제 13 기(당기),,제 12 기(전기),
I. 영업활동으로 인한 현금흐름,,"(27,035,083,328)",,"(18,286,597,786)"
1. 당기순이익(손실),"(13,981,038,139)",,"(16,611,537,405)",
2. 당기순손익 조정을 위한 가감,"453,059,647",,"982,060,015",
이자비용,"127,142,358",,"228,749,646",
이자수익,"(5,754,284,444)",,"(6,138,837,266)",
배당수익의 조정,"(53,825,271)",,"(101,860,579)",
감가상각비와 상각비의 조정,"6,655,053,803",,"6,537,906,351",
관계기업평가손익,"228,471,159",,"1,485,615,067",
비현금항목에 관한 기타조정,"(749,497,958)",,"(1,029,513,204)",
3. 영업활동 관련 자산ㆍ부채의 변동,"(20,210,971,221)",,"(8,240,180,669)",
매출채권,"39,879,036,473",,"29,417,477,457",
재고자산,"(5,307,669)",,"68,249,621",
기타 영업활동 관련 채권,"(90,881,000)",,"81,231,311",
매입채무,"(60,406,810,217)",,"(34,517,354,322)",
기타 영업활동 관련 채무,"412,991,192",,"(3,289,784,736)",
4. 배당금의 수취,"53,825,271",,"101,860,579",
5. 이자수취,"6,233,556,263",,"5,714,903,414",
6. 법인세의 수취(지급),"416,484,851",,"(233,703,720)",
II. 투자활동으로 인한 현금흐름,,"3,108,147,984",,"29,917,149,637"
단기금융상품의 처분,"500,000,000",,-,
단기금융상품의 취득,-,,"(200,000,000)",
관계기업투자지분 처분,"232,000,000",,"90,964,261",
유형자산의 취득,"(2,310,738,885)",,"(2,766,555,526)",
무형자산의 취득,"(1,008,000)",,"(931,816)",
공정가치측정금융자산 취득,"(43,550,000,000)",,"(102,161,970,109)",
공정가치측정금융자산 처분,"8,034,016,341",,"160,911,585,693",
상각후원가측정금융자산 취득,-,,"(56,000,000,000)",
상각후원가측정금융자산 처분,"40,027,891,211",,"30,039,376,150",
장기대여금 및 기타수취채권 증가,"(29,080,000)",,"(59,590,000)",
장기대여금 및 기타수취채권 감소,"49,483,317",,"53,564,984",
장기보증금의 증가,-,,"(160,000,000)",
장기보증금의 감소,"155,584,000",,"170,706,000",
lll. 재무활동으로 인한 현금흐름,,"(427,113,937)",,"160,573,625"
정부보조금의 수령(반환),"(83,911,213)",,"(99,243,995)",
리스부채의 상환,"(192,883,150)",,"(123,946,380)",
