0,1,2,3,4,5
과               목,주석,제 13(당)기 반기,,제 12(전)기 반기,
6. 기타수익,,,-,,"122,934,814"
외부위탁사업수익,,-,,"122,934,814",
7. 기타비용,,,"6,932,690",,"140,018,451"
기부금,,"6,932,690",,"14,966,820",
외부위탁사업비용,,-,,"125,051,631",
8. 기타이익(손실),,,"(296,828,992)",,"(220,837,061)"
그밖의 기타이익,,"127,804,925",,"158,636,415",
그밖의 기타손실,,"(424,633,917)",,"(379,473,476)",
9. 금융수익,25,,"4,247,991,857",,"3,886,022,411"
이자수익,,"3,131,325,623",,"2,762,084,516",
배당수익,,"42,929,065",,"69,365,797",
금융자산처분이익,,-,,"833,011,809",
"당기손익-공정가치측정금융자산평가 
  이익",,"1,073,737,169",,"221,560,289",
10. 금융원가,25,,"384,394,927",,"2,828,275,972"
이자비용,,"68,062,006",,"143,521,004",
금융자산처분손실,,"316,332,921",,-,
"당기손익-공정가치측정금융자산평가 
  손실",,-,,"2,684,754,968",
11. 관계기업관련손익,16,,"(37,931,022)",,"31,676,794"
12. 법인세비용차감전순손실,,,"(3,814,462,201)",,"(6,491,754,122)"
13. 법인세비용,,,-,,-
14. 반기순손실,,,"(3,814,462,201)",,"(6,491,754,122)"
15. 기타포괄손익(세후),,,"1,346,554,086",,"3,351,193,046"
"(1) 후속적으로 당기손익으로 재분류 
  되는 기타포괄손익",,,"1,346,554,086",,"3,351,193,046"
"기타포괄손익-공정가치측정금융자산 
  의 세후평가이익(손실)",,"1,346,554,086",,"3,351,193,046",
16. 총포괄손실,,,"(2,467,908,115)",,"(3,140,561,076)"
17. 주당손익,,,,,
기본주당손실,,,(127),,(216)
