0,1,2,3,4,5
제                목,처분  내역,,,,
,조치양정,현  소속,직책,성명,비고
"④ 
화환대  경비  집행  및  지출절차 
     
미흡",주의,지사△,"수석
상담역",EA,"前  △
지사장"
,주의,"△
지사장","직무
대행",EB,
,주의,"△
지사 
♣
파트",차장,EC,
,주의,"△
지사 
♣
파트",과장,ED,
,주의,"△
지사 
♣
파트",사원,EF,
,주의,"△
지사 
♠
파트",파트장,FA,
,주의,"△
지사 
♠
파트",차장,FB,
,주의,"국∞
팀",대리,FC,"前  △
지사
파트♠"
,주의,"△
지사 
♠
파트",대리,FD,
,주의,지사★,지사장,W,
,주의,팀♂,"수석
상담역",X,"前  ★
지사장"
,주의,"★
지사 
▤
파트",파트장,DE,
,주의,"★
지사 
▤
파트",차장,Y,
,주의,"★
지사 
▤
파트",차장,Z,
,주의,"★
지사 
▤
파트",과장,AB,
,주의,"★
지사 
▤
파트",사원,DF,
"⑤ 
운행불일치  관리업무  미흡",주의,지사★,지사장,W,
,주의,팀♂,"수석
상담역",X,"前  ★
지사장"
,주의,"★
지사 
▤
파트",차장,Z,
,주의,"★
지사 
▤
파트",과장,AB,
