0,1,2,3,4,5,6,7,8,9,10
구분,감사사항명,실시기간,"감사
처분
계",징 계,"시정
(천원)","주의
경고
(인원)","개선
권고",통보,"현지
조치","모범
사례"
종합감사,"영업본부
종합감사","2024.5.2  ~
6.3(20일)",8건,-,-,"5건
(59명)",3건,-,-,11건
특정감사,"내부통제  운영실태 
점검","2024.7.8  ~
7.19(10일)",5건,-,-,1건,4건,-,-,-
특정감사,"경영지침  이행  및
운영실태  점검","2024.10.7  ~
10.21(10일)",8건,-,-,"3건
(7명)",4건,-,1건,4건
재무감사,재무감사,"2024.11.11  ~
11.22(10일)",5건,-,-,"2건
(5명)",1건,1건,1건,4건
복무감사,"설명절  공직기강
확립  복무감사","2024.2.5  ~
2.6(2일)",-,-,-,-,-,-,-,-
,"6월  공직기강
확립  복무감사","2024.6.11
(1일)",-,-,-,-,-,-,-,-
,"8월  부패발생 
취약분야  복무감사","2024.8.9
(1일)",-,-,-,-,-,-,-,-
,"8월  을지훈련기간 
공직기강  복무감사","2022.8.19  ~ 
8.22(4일)",-,-,-,-,-,-,-,-
,"추석명절  공직기강
확립  복무감사","2024.9.12
(1일)",-,-,-,-,-,-,-,-
,"10월  공직기강
확립복무감사","2024.10.15  ~
10.25(9일)",1건,"1건
(1명)",-,-,-,-,-,-
,"연말연시  공직기강
확립복무감사(지사)","2024.12.5  ~
12.6(2일)",-,-,-,-,-,-,-,-
2024년  연간  자체감사  실적,,,27건,"1건
(1명)",-,"11건
(71명)",12건,1건,,2건 19건
