0,1,2,3,4,5,6,7
번호,부서,건명,처분요구,,,"조치
기한",감사자
,,,,종류 재정상 신분상,,,
1,"국◎
팀◆
팀□
팀▲
국◇
팀◆
팀□
팀▲
△ ■
/
/▽ ★
지사
(
◐ ▣
지소
)",판촉활동에  대한  연간계획  수립  필요,개선,,,일60,C D
2,지사△,소관매체  연간판매계획  수립  필요,개선,,,일60,D C
3,"국◎
팀◆
국◇
팀◆
팀□
지사■
지사★","직거래  광고주  계약  관련  필수서류
미비",주의,,19,일60,E B
4,"지사■
지사▽
지사★",직거래  광고주  계약  시  코바넷  등록미흡 주의,,,9,일60,F G
5,"지사■
지사★
지소◐","지역밀착형  방송광고  활성화  기반구축
사업관련  결과보고  누락",주의,,11,일60,C E
6,"지사△
지사▽",화환대  경비  집행  및  지출절차  미흡,주의,,16,일60,E H
7,지사▽,운행불일치  관리업무  미흡,주의,,4,일60,F C
8,"팀☆
(
♥
파트
)","방송광고거래약관 직거래광고주용
) 
환불
규정  보완",개선,,,일60,D A
