0,1,2,3,4
(단위: 원),,,,
구   분,기초,"당기손익에
인식될 금액","자본에 직접
인식될 금액",기말
퇴직급여충당부채,"3,011,946,411","(321,183,536)",-,"2,690,762,875"
국고보조금(건물),"25,274,701","(1,123,320)",-,"24,151,381"
감가상각누계(건물),"388,342,508",-,-,"388,342,508"
기타 무형자산,"262,137,278",-,-,"262,137,278"
감가상각누계(집기와비품),"85,948,690",-,-,"85,948,690"
사용권자산상각누계액,"23,347,200","22,252,808",-,"45,600,008"
금융리스미지급금,"74,361,365","669,819",-,"75,031,184"
기타포괄-공정가치측정금융자산평가손실,"751,769,737","(690,055,414)",-,"61,714,323"
관계기업투자평가,"25,330,472","96,238,472",-,"121,568,944"
미지급금(연차수당),"622,146,711","9,498,010",-,"631,644,721"
미지급금(성과급),"1,047,620,728","(104,500,000)",-,"943,120,728"
선수수익(임대보증금),"52,567,404","311,062",-,"52,878,466"
