0,1,2,3,4,5,6
구   분,지배기업 소유주지분,,,,비지배지분,총 계
,납입자본,결손금,기타자본구성요소,소계,,
Ⅰ. 2022. 1. 1(전기초 보고금액),"325,581,083,487","(17,950,122,747)","(609,987,655)","307,020,973,085",-,"307,020,973,085"
Ⅱ. 자본의 변동,-,"(10,485,409,247)","(8,850,470,189)","(19,335,879,436)",,"- (19,335,879,436)"
전기순손실,-,"(10,675,623,484)",-,"(10,675,623,484)",,"- (10,675,623,484)"
기타포괄손익의 변동,-,"190,214,237","(8,850,470,189)","(8,660,255,952)",-,"(8,660,255,952)"
- 확정급여제도의 재측정요소,-,"190,214,237",-,"190,214,237",-,"190,214,237"
- 공정가치측정금융자산평가손익,-,-,"(8,850,470,189)","(8,850,470,189)",-,"(8,850,470,189)"
Ⅲ. 2022.12.31(전기말 보고금액),"325,581,083,487","(28,435,531,994)","(9,460,457,844)","287,685,093,649",-,"287,685,093,649"
Ⅰ. 2023. 1. 1(당기초 보고금액),"325,581,083,487","(28,435,531,994)","(9,460,457,844)","287,685,093,649",-,"287,685,093,649"
Ⅱ. 자본의 변동,-,"(17,129,808,338)","6,388,175,115","(10,741,633,223)",,"- (10,741,633,223)"
당기순손실,-,"(16,611,537,405)",-,"(16,611,537,405)",,"- (16,611,537,405)"
기타포괄손익의 변동,-,"(518,270,933)","6,388,175,115","5,869,904,182",-,"5,869,904,182"
- 확정급여제도의 재측정요소,-,"(518,270,933)",-,"(518,270,933)",-,"(518,270,933)"
- 공정가치측정금융자산평가손익,-,-,"6,388,175,115","6,388,175,115",-,"6,388,175,115"
Ⅲ. 2023.12.31(당기말 보고금액),"325,581,083,487","(45,565,340,332)","(3,072,282,729)","276,943,460,426",-,"276,943,460,426"
