0,1,2,3,4,5
제                목,처분  내역,,,,
,조치양정,현  소속,직책,성명,비고
"② 
직거래  광고주  계약  시  코바넷 
등록  미흡",주의,지사■,"수석
상담역",T,"前  ■
지사장"
,주의,실◈,실장,AC,"前  ■
지사장"
,주의,"■
지사 
▤
파트",차장,AD,
,주의,지사▽,지사장,AE,
,주의,팀♂,"수석
상담역",AF,"前  ▽
지사장"
,주의,"▽
지사 
▤
파트",차장,BB,
,주의,지사★,지사장,W,
,주의,팀♂,"수석
상담역",X,"前  ★
지사장"
,주의,"★
지사 
▤
파트",차장,BC,
"③ 
지역밀착형  방송광고  활성화 
     
기반  구축사업  관련  결과보고   
     
미비",주의,지사■,"수석
상담역",T,"前  ■
지사장"
,주의,실◈,실장,AC,"前  ■
지사장"
,주의,"■
지사장","직무
대행",BD,
,주의,"■
지사 
▤
파트","수석
상담역",CC,
,주의,"■
지사 
▤
파트",차장,CD,
,주의,지사★,지사장,W,
,주의,팀♂,"수석
상담역",X,"前  ★
지사장"
,주의,"▽
지사 
▤
파트",파트장,CE,"前  ★
지사 
파트▤"
,주의,"★
지사 
▤
파트",차장,Z,
,주의,"★
지사 
◐
지소",지소장,CF,
,주의,"★
지사 
◐
지소",차장,DD,
