0,1,2,3,4,5
과     목,주석,제 13(당)기 반기말,,제 12(전)기 기말,
단기예수금,,"270,703,474",,"417,266,056",
기타유동비금융부채,,"283,582,477",,"351,437,428",
(3)유동충당부채,18,,"5,170,792,200",,"5,000,000,000"
유동종업원급여충당부채,,"5,170,792,200",,"5,000,000,000",
2.비유동부채,,,"13,569,972,899",,"13,312,494,821"
(1)비유동성금융부채,"25,26",,"172,969,591",,"199,407,210"
비유동리스부채,,"172,969,591",,"199,407,210",
(2)장기매입채무및기타채무,"17,25",,"12,828,381,726",,"12,861,568,933"
장기임대보증금,,"13,100,949,400",,"13,115,872,400",
현재가치할인차금,,"(272,567,674)",,"(254,303,467)",
(3)비유동비금융부채,20,,"267,832,769",,"251,518,678"
장기선수수익,,"267,832,769",,"251,518,678",
(4)종업원급여채무,19,,"300,788,813",,-
순확정급여부채,,"300,788,813",,-,
부채총계,,,"202,856,042,685",,"229,205,288,150"
Ⅲ.자본,,,,,
1.지배기업 소유주지분,,,"274,704,402,373",,"276,943,460,426"
(1)납입자본,21,,"325,581,083,487",,"325,581,083,487"
자본금,,"300,000,000,000",,"300,000,000,000",
주식발행초과금,,"25,581,083,487",,"25,581,083,487",
(2)결손금,22,,"(49,150,952,471)",,"(45,565,340,332)"
미처리결손금,,"(49,150,952,471)",,"(45,565,340,332)",
(3)기타자본구성요소,23,,"(1,725,728,643)",,"(3,072,282,729)"
기타포괄손익누계액,,"(1,725,728,643)",,"(3,072,282,729)",
2.비지배지분,,,-,,-
자본총계,,,"274,704,402,373",,"276,943,460,426"
자본과부채총계,,,"477,560,445,058",,"506,148,748,576"
