0,1,2,3
(단위: 원),,,
구   분,판매비와 관리비,매출원가,합계
인건비(*1),"30,540,469,086","1,483,998,870","32,024,467,956"
감가상각비,"2,722,546,705","3,609,204,123","6,331,750,828"
무형자산상각비,"206,155,523",-,"206,155,523"
지급수수료,"3,164,839,572","73,812,873,016","76,977,712,588"
세금과공과,"4,206,304,752","3,122,250,185","7,328,554,937"
수도광열비,"413,805,528","1,819,852,848","2,233,658,376"
경상연구개발비,-,"4,773,235,497","4,773,235,497"
조사분석비,"3,387,965,095",-,"3,387,965,095"
기타,"4,865,464,128","5,229,521,784","10,094,985,912"
합    계,"49,507,550,389","93,850,936,323","143,358,486,712"
