0,1,2,3,4,5,6,7,8,9
구분,감사사항명,실시기간,계,"징계
인원(
)","시정
천원(
)","주의/
경고
인원(
)","개선/
권고","통보/
현지
조치","모범
사례"
종합감사,"광고산업진흥국 
종합감사","2023.3.27.~4.14
(15
일
)",7,-,"2
(391)","5
(32)",-,-,3
,"인프라사업팀
종합감사","2023.5.29.~6.16
(14
일
)",15,-,-,2,8,5,1
특정감사,"경영지침  이행  및
운영실태  점검  및 
정보보안","2023.9.18.~10.6
(12
일
)",10,-,-,"1
(4)",8,1,6
재무감사,재무감사,"2023.11.27.~12.15
(15
일
)",6,-,-,"1
(9)",4,1,3
복무감사,"3 확
월  공직기강 
립  복무감사","2023.3.24(1
일
)",0,-,-,-,-,-,-
,"5 확
월  공직기강 
립  복무감사","2023.5.3.~5.4(2
일
)",1,-,-,-,-,1,-
,"7
월  공직기강 
확립  복무감사 본사(
)","2023.7.12(1
일
)",0,-,-,-,-,-,-
,"7
월  공직기강 
확립  복무감사 지사(
)","2023.7.20.~7.21
일(2
)",0,-,-,-,-,-,-
,"을지연습기간
공직기강확립  복무감사","2023.8.21.~8.24
일(3
)",0,-,-,-,-,-,-
,"추석명절    공직기강확립 
복무감사 지사(
)","2023.9.14~9.15
일(2
)",0,-,-,-,-,-,-
,"11
월  공직기강 
확립  복무감사","2023.11.16~11.24
일(7
)",3,"1
(1)",-,"2
(4)",-,-,-
"2023
년  연간  자체감사  실적",,,42,"1
(1)","2
(391)","11
(49)",20,8,13
