0,1,2,3
구분,직·성명,담당업무,비고
내 부 감 사 인,실장  ☎,"ㅇ  특정감사  총괄
ㅇ  정보보안  및  개인정보보호관리  내부통제체계  적정성  점검",
,팀장  ◈,ㅇ  안전보건  및  정보보안  관련  정부  심사평가  대응  적정성  점검,
,차장  ▧,"ㅇ  공사  산업안전보건법·중대재해처벌법  및  소방법·전기안전법  등  안
전보건  관련  법령  및  주요  기준·지침  준수  여부  점검
ㅇ  안전경영책임보고서  작성  및  이행·위험성평가  수행  등  공사  안전
보건경영체계  구축  적정성  점검  및  개선사항  도출
ㅇ  개인정보  처리  업무의  관련  법률  및  내부  절차  준수여부  점검
ㅇ  정보보안  법령·국정원  국가  정보보안  기본지침·관련  사규  및  내부 
지침  등  준수  여부  점검",
,과장  ★,,
,대리  △,,
,대리  ▷,,
사 내 전 문 가,"전문위원  ▽
(변호사  자격)","ㅇ  안전보건  관련  주요  법령(산안법·중대재해처벌법)  준수  여부  점검
ㅇ  정보보안  및  개인정보보호관리  내부통제체계  적정성  점검",
,팀장  ◁,ㅇ  정보보안  및  개인정보보호관리  내부통제체계  적정성  점검,
,"과장  ◇
(CISA  자격)",ㅇ  정보화  사업  보안성  검토  업무  관련  절차  준수여부  점검,
,"차장  ○
(CPPG  자격)",ㅇ  개인정보  처리  업무의  관련  법률  및  내부  절차  준수여부  점검,
,"사원  ◎
(정보보안기사  자격)","ㅇ  정보보안  법령·국정원  국가  정보보안  기본지침·관련  사규  및  내부 
지침  등  준수  여부  점검",
외 부 감 사 인,"변호사  ☆
(공사  청렴옴부즈만)","ㅇ  안전보건  관련  주요  법령(산안법·중대재해처벌법)  준수  여부  점검
ㅇ  정보보안  및  개인정보보호관리  내부통제체계  구축  적정성  점검",
,"과장  ☏
(Q공단 안전관리부)","ㅇ  내부감사인  대상  안전보건경영체계  운영  관련  교육  수행
ㅇ  공사  고정자산  대상  현장점검  수행","교차
감사"
