0,1,2,3
(단위: 원),,,
구   분,판매비와 관리비,매출원가,합계
급여,"24,145,106,604","1,200,756,677","25,345,863,281"
퇴직급여,"2,260,737,709","572,160,734","2,832,898,443"
해고급여,"843,009,530",-,"843,009,530"
복리후생비,"542,552,425",-,"542,552,425"
보험료,"120,131,045","18,413,578","138,544,623"
감가상각비,"2,797,470,357","3,686,824,937","6,484,295,294"
무형자산상각비,"167,671,515",-,"167,671,515"
지급수수료,"2,945,681,917","69,699,153,978","72,644,835,895"
광고선전비,"1,388,166,637",-,"1,388,166,637"
교육훈련비,"375,234,515",-,"375,234,515"
차량유지비,"39,309,103",-,"39,309,103"
도서인쇄비,"17,037,597",-,"17,037,597"
업무추진비,"54,556,115",-,"54,556,115"
임차료,"570,865,249","460,825,553","1,031,690,802"
통신비,"35,047,492",-,"35,047,492"
세금과공과,"4,127,257,259","3,175,711,227","7,302,968,486"
소모품비,"236,909,089",-,"236,909,089"
수도광열비,"355,086,648","1,816,414,943","2,171,501,591"
수선비,"215,861,318","365,642,686","581,504,004"
경상연구개발비,-,"3,824,551,480","3,824,551,480"
여비교통비,"71,811,709",-,"71,811,709"
조사분석비,"3,295,476,732",-,"3,295,476,732"
판매촉진비,"382,101,060",-,"382,101,060"
기타비용,"919,327,322","6,514,600,059","7,433,927,381"
합    계,"45,906,408,947","91,335,055,852","137,241,464,799"
