0,1,2,3,4,5
구   분,주석,제 13 기(당기),,제 12 기(전기),
8.기타이익(손실),,,"(117,704,651)",,"629,422,030"
그밖의기타이익,27,"316,186,842",,"1,093,007,320",
유형자산처분손실,,"(236,000)",,"(504,000)",
무형자산처분손실,,-,,"(8,000)",
그밖의기타손실,27,"(433,655,493)",,"(463,073,290)",
9.금융수익,"6,28,33",,"8,443,292,247",,"11,398,732,147"
이자수익,,"5,754,284,471",,"6,138,837,266",
배당수익,,"53,825,271",,"101,860,579",
금융자산처분이익,,-,,"4,227,714,855",
당기손익-공정가치측정금융자산평가이익,,"2,635,182,505",,"930,319,447",
10.금융원가,"6,29,33",,"495,413,378",,"2,938,036,866"
이자비용,,"127,142,358",,"228,749,646",
금융자산처분손실,,"316,332,921",,-,
당기손익-공정가치측정금융자산평가손실,,"51,938,099",,"2,709,287,220",
11.관계기업관련이익(손실),17,,"(228,471,159)",,"(1,485,615,067)"
관계기업투자지분평가이익,,"632,225,890",,"99,133,372",
관계기업투자지분평가손실,,"(860,697,049)",,"(1,584,748,439)",
12.법인세비용차감전순이익(손실),,,"(13,953,482,786)",,"(16,611,537,405)"
13.법인세비용,30,,"27,555,353",,-
14.당기순이익(손실),,,"(13,981,038,139)",,"(16,611,537,405)"
지배기업 소유주지분,,,"(13,981,038,139)",,"(16,611,537,405)"
비지배지분,,,-,,-
15.기타포괄손익(세후),,,"4,055,437,321",,"5,869,904,182"
"후속적으로당기손익으로 재분류되지않는
   기타포괄손익",20,,"813,121,778",,"(518,270,933)"
확정급여제도의 재측정요소,,"813,121,778",,"(518,270,933)",
"후속적으로 당기손익으로 재분류되는
   기타포괄손익",24,,"3,242,315,543",,"6,388,175,115"
"기타포괄손익-공정가치측정금융자산의 
      세후재측정이익(손실)",,"3,242,315,543",,"6,388,175,115",
16.총포괄손익,,,"(9,925,600,818)",,"(10,741,633,223)"
지배기업 소유주지분,,,"(9,925,600,818)",,"(10,741,633,223)"
비지배지분,,,-,,-
17.주당손익,32,,,,
기본주당손익,,,(466),,(553)
