0,1,2,3,4,5,6
구   분,지배기업 소유주지분,,,,비지배지분,총 계
,납입자본,결손금,기타자본구성요소,소계,,
Ⅰ. 2023. 1. 1(전기초 보고금액),"325,581,083,487","(28,435,531,994)","(9,460,457,844)","287,685,093,649",-,"287,685,093,649"
Ⅱ. 자본의 변동,-,"(17,129,808,338)","6,388,175,115","(10,741,633,223)",,"- (10,741,633,223)"
당기순이익(손실),-,"(16,611,537,405)",-,"(16,611,537,405)",,"- (16,611,537,405)"
기타포괄손익의 변동,-,"(518,270,933)","6,388,175,115","5,869,904,182",-,"5,869,904,182"
- 확정급여제도의 재측정요소,-,"(518,270,933)",-,"(518,270,933)",-,"(518,270,933)"
- 공정가치측정금융자산평가손익,-,-,"6,388,175,115","6,388,175,115",-,"6,388,175,115"
Ⅲ. 2023.12.31(전기말 보고금액),"325,581,083,487","(45,565,340,332)","(3,072,282,729)","276,943,460,426",-,"276,943,460,426"
Ⅳ. 2024. 1. 1(당기초 보고금액),"325,581,083,487","(45,565,340,332)","(3,072,282,729)","276,943,460,426",-,"276,943,460,426"
Ⅴ. 자본의 변동,-,"(13,167,916,361)","3,242,315,543","(9,925,600,818)",-,"(9,925,600,818)"
당기순이익(손실),-,"(13,981,038,139)",-,"(13,981,038,139)",,"- (13,981,038,139)"
기타포괄손익의 변동,-,"813,121,778","3,242,315,543","4,055,437,321",,"4,055,437,321"
- 확정급여제도의 재측정요소,-,"813,121,778",-,"813,121,778",-,"813,121,778"
- 공정가치측정금융자산평가손익,-,-,"3,242,315,543","3,242,315,543",-,"3,242,315,543"
Ⅵ. 2024.12.31(당기말 보고금액),"325,581,083,487","(58,733,256,693)","170,032,814","267,017,859,608",-,"267,017,859,608"
