0,1,2,3,4
(단위: 원),,,,
구   분,기초,"당기손익에
인식될 금액","자본에 직접
인식될 금액",기말
퇴직급여충당부채,"3,154,901,697","(142,955,286)",-,"3,011,946,411"
국고보조금(건물),"25,395,633","(120,932)",-,"25,274,701"
감가상각누계(건물),"390,200,606","(1,858,098)",-,"388,342,508"
기타 무형자산,"263,391,524","(1,254,246)",-,"262,137,278"
감가상각누계(공기구비품),"86,359,928","(411,238)",-,"85,948,690"
사용권자산상각누계액,"53,665,384","(30,318,184)",-,"23,347,200"
금융리스미지급금,"59,254,194","15,107,171",-,"74,361,365"
당기손익- 공정가치측정금융자산 평가손실,"1,005,214,230","(652,653,820)",-,"352,560,410"
기타포괄-공정가치측정금융자산평가손실,"2,172,473,903","(1,420,704,166)",-,"751,769,737"
관계기업투자평가,"507,875,516","(482,545,044)",-,"25,330,472"
미지급금(연차수당),"558,712,613","17,889,409",-,"576,602,022"
미지급금(성과급),"1,050,000,000","(2,379,272)",-,"1,047,620,728"
선수수익(임대보증금),"52,778,740","(211,336)",-,"52,567,404"
현재가치할인차금(임차보증금),"8,105,869","(3,217,432)",-,"4,888,437"
이연정부보조금수익,"15,865,557","(1,920,840)",-,"13,944,717"
감가상각비,"537,277,653","(130,590,432)",-,"406,687,221"
현재가치할인차금(장기대여금),"2,597,452","273,693",-,"2,871,145"
기타무형자산손상차손,"57,540,000","(274,000)",-,"57,266,000"
차감할차이관련이연법인세 계,"10,001,610,499","(2,838,144,053)",-,"7,163,466,446"
미수수익,"(104,404,550)","(83,907,635)",-,"(188,312,185)"
퇴직연금운용자산,"(3,468,162,565)","236,979,903",-,"(3,231,182,662)"
일시상각충당금,"(26,524,328)","1,249,627",-,"(25,274,701)"
당기손익- 공정가치측정금융자산 평가이익,"(818,148,022)","818,148,022",-,-
기타포괄-공정가치측정금융자산평가이익,"(141,827,240)","141,827,240",-,-
공기구비품,"(259,213,185)","1,234,348",-,"(257,978,837)"
사용권자산,"(115,885,100)","16,957,970",-,"(98,927,130)"
선급비용(임차보증금),"(1,974,516)","9,402",-,"(1,965,114)"
현재가치할인차금(임대보증금),"(53,154,398)","213,125",-,"(52,941,273)"
선급비용(장기대여금),"(2,597,452)","(273,693)",-,"(2,871,145)"
가산할차이관련이연법인세 계,"(4,991,891,356)","1,132,438,309",-,"(3,859,453,047)"
소 계,"5,009,719,143","(1,705,705,744)",-,"3,304,013,399"
이연법인세 미인식 금액,,,,"3,204,576,677"
이연법인세 인식 금액,,,,"99,436,722"
