0,1,2,3,4,5
과     목,주석,제 13(당)기 반기말,,제 12(전)기 기말,
유동리스부채,,"160,269,731",,"156,388,797",
(2)유동비금융부채,20,,"7,968,480,067",,"7,119,840,449"
단기선수금,,"7,573,496,610",,"6,506,303,183",
단기예수금,,"111,400,980",,"262,099,838",
기타유동비금융부채,,"283,582,477",,"351,437,428",
(3)유동충당부채,18,,"5,170,792,200",,"5,000,000,000"
유동종업원급여충당부채,,"5,170,792,200",,"5,000,000,000",
2.비유동부채,,,"13,314,237,086",,"13,357,547,821"
(1)비유동성금융부채,"25,26",,"172,969,591",,"199,407,210"
비유동리스부채,,"172,969,591",,"199,407,210",
(2)장기매입채무및기타채무,"17,25",,"12,873,434,726",,"12,906,621,933"
장기임대보증금,,"13,146,002,400",,"13,160,925,400",
현재가치할인차금,,"(272,567,674)",,"(254,303,467)",
(3)비유동비금융부채,20,,"267,832,769",,"251,518,678"
장기선수수익,,"267,832,769",,"251,518,678",
(4)종업원급여채무,19,,-,,-
순확정급여부채,,-,,-,
부채총계,,,"201,802,398,379",,"228,179,926,203"
Ⅲ.자본,,,,,
1.납입자본,21,,"325,581,083,487",,"325,581,083,487"
자본금,,"300,000,000,000",,"300,000,000,000",
주식발행초과금,,"25,581,083,487",,"25,581,083,487",
2.결손금,22,,"(48,885,753,735)",,"(45,071,291,534)"
미처리결손금,,"(48,885,753,735)",,"(45,071,291,534)",
3.기타자본구성요소,23,,"(1,725,728,643)",,"(3,072,282,729)"
기타포괄손익누계액,,"(1,725,728,643)",,"(3,072,282,729)",
자본총계,,,"274,969,601,109",,"277,437,509,224"
자본과부채총계,,,"476,771,999,488",,"505,617,435,427"
